gene	coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
MYD88	606.6261	1.1679	1.1679	0.0415	0.0316
MYOD1	508.8768	0.9946	0.9946	0.0481	0.0415
NBN	530.2287	1.0237	1.0237	0.0547	0.0452
NCOA3	596.2394	1.1532	1.1532	0.0393	0.0317
NCOR1	578.4914	1.1173	1.1173	0.0499	0.0390
NEGR1	548.3822	1.0772	1.0772	0.0515	0.0428
NF1	567.0674	1.1084	1.1084	0.0572	0.0437
NF2	527.4519	1.0275	1.0275	0.0404	0.0322
NFE2L2	621.5078	1.1949	1.1949	0.0416	0.0358
NFKBIA	476.2958	0.9478	0.9478	0.0415	0.0342
NKX2-1	581.7101	1.1324	1.1324	0.0584	0.0468
NKX3-1	589.6085	1.1469	1.1469	0.0404	0.0298
NOTCH1	566.3461	1.0708	1.0708	0.0596	0.0458
NOTCH2	729.3340	1.3765	1.3765	0.0720	0.0597
NOTCH2,NOTCH2.intron.26	867.5855	1.5612	1.5612	0.0368	0.0340
NOTCH3	547.7405	1.0598	1.0598	0.0570	0.0435
NOTCH4	0.0000	0.0047	0.0000	0.0013	0.0000
NPM1	457.2603	0.9057	0.9057	0.0432	0.0347
NR-21	1026.8675	1.8926	1.8926	0.1880	0.1505
NR-22	960.9364	1.7749	1.7749	0.1839	0.1513
NR-24	981.9387	1.8137	1.8137	0.1853	0.1533
NR-27	1168.8380	2.2107	2.2107	0.1245	0.1023
NRAS	499.7519	0.9883	0.9883	0.0518	0.0399
NRG1	639.9862	1.2116	1.2116	0.0456	0.0358
NSD1	601.9492	1.1428	1.1428	0.0317	0.0246
NT5C2	456.1926	0.8969	0.8969	0.0440	0.0344
NTHL1	380.6096	0.7484	0.7484	0.0744	0.0638
NTHL1,TSC2	741.0131	1.3475	1.3475	0.0752	0.0660
NTRK1	482.8054	0.9477	0.9477	0.0614	0.0480
NTRK1,NTRK1.intron.10,NTRK1.intron.8,NTRK1.intron.9	766.3351	1.3976	1.3976	0.0544	0.0389
NTRK1,NTRK1.intron.8	589.3856	1.1592	1.1592	0.0567	0.0547
NTRK2	678.7142	1.2726	1.2726	0.0327	0.0246
NTRK2,NTRK2.intron.12	730.4828	1.3541	1.3541	0.0400	0.0311
NTRK2,NTRK2.intron.15	777.8962	1.4165	1.4165	0.0299	0.0230
NTRK2.intron.15	398.2274	0.7935	0.7935	0.0404	0.0326
NTRK3	466.7768	0.9235	0.9235	0.0379	0.0301
NTRK3,NTRK3.intron.13	734.6200	1.3500	1.3500	0.0165	0.0109
NTRK3,NTRK3.intron.13,NTRK3.intron.14	694.9859	1.2649	1.2649	0.0196	0.0168
NTRK3,NTRK3.intron.14	724.2810	1.3213	1.3213	0.0193	0.0146
NTRK3.intron.13	700.1904	1.2970	1.2970	0.0232	0.0189
NTRK3.intron.14	712.9795	1.3088	1.3088	0.0204	0.0145
NUF2	472.1321	0.9264	0.9264	0.0560	0.0425
NUP93	504.9108	0.9956	0.9956	0.0371	0.0284
NUTM1.intron.1	723.3499	1.3304	1.3304	0.0363	0.0308
P2RY8	0.0000	0.0047	0.0000	0.0013	0.0000
PAK1	526.4547	1.0336	1.0336	0.0458	0.0362
PAK3	468.7099	0.9274	0.9274	0.0432	0.0346
PAK7	523.0388	1.0403	1.0403	0.0350	0.0247
PALB2	639.4985	1.2057	1.2057	0.0398	0.0313
PARK2	442.4242	0.8747	0.8747	0.0419	0.0319
PARP1	502.7165	0.9903	0.9903	0.0335	0.0277
PARP2	555.3301	1.0820	1.0820	0.0395	0.0297
PARP3	484.0269	0.9519	0.9519	0.0475	0.0355
PAX5	397.3640	0.7822	0.7822	0.0359	0.0293
PBRM1	542.2696	1.0703	1.0703	0.0447	0.0341
PDCD1	552.7320	1.0550	1.0550	0.0492	0.0360
PDCD1LG2	545.9803	1.0747	1.0747	0.0397	0.0325
PDGFB.intron.1	689.6550	1.2605	1.2605	0.0296	0.0238
PDGFRA	575.8248	1.1114	1.1114	0.0425	0.0331
PDGFRA,PDGFRA.intron.11	718.3825	1.3073	1.3073	0.0321	0.0258
PDGFRA,PDGFRA.intron.7	716.4701	1.3070	1.3070	0.0409	0.0279
PDGFRA,PDGFRA.intron.9	723.7088	1.3244	1.3244	0.0367	0.0287
PDGFRB	487.8982	0.9607	0.9607	0.0521	0.0419
PDK1	422.8983	0.8337	0.8337	0.0536	0.0423
PDPK1	250.1252	0.4796	0.4782	0.0208	0.0166
PGR	666.5667	1.2616	1.2616	0.0571	0.0438
PHOX2B	493.8647	0.9794	0.9794	0.0556	0.0399
PIK3C2B	463.5432	0.9163	0.9163	0.0458	0.0359
PIK3C2G	516.8862	1.0095	1.0095	0.0550	0.0432
PIK3C3	444.6837	0.8771	0.8771	0.0541	0.0429
PIK3CA	554.7216	1.0761	1.0761	0.0571	0.0441
PIK3CB	596.6991	1.1554	1.1554	0.0572	0.0445
PIK3CD	437.7780	0.8569	0.8569	0.0541	0.0416
PIK3CG	573.1084	1.1260	1.1260	0.0312	0.0248
PIK3R1	533.4768	1.0487	1.0487	0.0547	0.0420
PIK3R2	437.0456	0.8536	0.8536	0.0566	0.0437
PIK3R3	514.1073	1.0104	1.0104	0.0403	0.0299
PIM1	598.0985	1.1604	1.1604	0.0451	0.0308
PLCG2	539.0173	1.0453	1.0453	0.0381	0.0294
PLK2	591.1217	1.1366	1.1366	0.0483	0.0388
PMAIP1	535.3966	1.0653	1.0653	0.0532	0.0411
PMS1	553.5032	1.0873	1.0873	0.0620	0.0512
PMS2	511.0814	0.9785	0.9785	0.0548	0.0452
PNRC1	596.9000	1.1755	1.1755	0.0417	0.0347
POLD1	500.1846	0.9707	0.9707	0.0566	0.0428
POLE	566.3629	1.1062	1.1062	0.0398	0.0304
PPARG	548.8784	1.0715	1.0715	0.0382	0.0315
PPM1D	422.6470	0.8350	0.8350	0.0395	0.0306
PPP2R1A	455.3841	0.8982	0.8982	0.0412	0.0320
PPP2R2A	514.5738	1.0056	1.0056	0.0546	0.0423
PPP4R2	449.2244	0.8885	0.8885	0.0513	0.0389
PPP6C	435.8655	0.8613	0.8613	0.0361	0.0263
PRDM1	644.9254	1.2150	1.2150	0.0315	0.0249
PRDM14	500.3686	0.9834	0.9834	0.0330	0.0264
PREX2	489.8096	0.9615	0.9615	0.0519	0.0397
PRKAR1A	542.1868	1.0702	1.0702	0.0421	0.0320
PRKCI	414.3171	0.8224	0.8224	0.0517	0.0418
PRKD1	503.7170	0.9963	0.9963	0.0504	0.0374
PRKDC	523.4988	1.0334	1.0334	0.0453	0.0351
PRSS8	543.9726	1.0685	1.0685	0.0435	0.0305
PTCH1	492.6624	0.9631	0.9631	0.0407	0.0321
PTEN	534.4424	1.0423	1.0423	0.0580	0.0468
PTP4A1	400.9206	0.7869	0.7869	0.0588	0.0462
PTPN11	365.6078	0.7192	0.7192	0.0364	0.0282
PTPRD	466.4517	0.9200	0.9200	0.0446	0.0357
PTPRO	454.6714	0.8895	0.8895	0.0412	0.0321
PTPRS	459.1585	0.8922	0.8922	0.0460	0.0355
PTPRT	459.3172	0.9063	0.9063	0.0368	0.0281
QKI	661.3129	1.2399	1.2399	0.0458	0.0338
RAB35	509.6484	1.0022	1.0022	0.0446	0.0359
RAC1	382.1185	0.7558	0.7558	0.0345	0.0250
RAC2	355.4861	0.6961	0.6961	0.0533	0.0392
RAD21	493.7085	0.9759	0.9759	0.0524	0.0405
RAD50	531.5908	1.0257	1.0257	0.0615	0.0489
RAD51	292.5978	0.5670	0.5670	0.0291	0.0234
RAD51B	403.8882	0.7996	0.7996	0.0363	0.0286
RAD51C	301.3156	0.5879	0.5879	0.0322	0.0251
RAD51D	270.3834	0.5291	0.5291	0.0256	0.0191
RAD52	341.2914	0.6634	0.6634	0.0305	0.0233
RAD54L	330.9557	0.6527	0.6527	0.0348	0.0277
RAF1	327.2122	0.6398	0.6398	0.0300	0.0234
RAF1,RAF1.intron.4,RAF1.intron.5	691.8398	1.2791	1.2791	0.0340	0.0259
RAF1,RAF1.intron.5,RAF1.intron.6	707.6311	1.3122	1.3122	0.0544	0.0419
RAF1,RAF1.intron.6,RAF1.intron.7	689.8964	1.2772	1.2772	0.0303	0.0264
RAF1,RAF1.intron.7,RAF1.intron.8,RAF1.intron.9	728.2015	1.3440	1.3440	0.0330	0.0299
RAF1.intron.5	626.3257	1.1686	1.1686	0.0362	0.0289
RAF1.intron.6	537.0461	1.0713	1.0713	0.0703	0.0564
RANBP2	584.2337	1.0869	1.0869	0.0394	0.0313
RARA	322.5110	0.6270	0.6270	0.0513	0.0389
RARA,RARA.intron.2	728.3801	1.3390	1.3390	0.0383	0.0306
RARA.intron.2	740.2447	1.3713	1.3713	0.0700	0.0549
RASA1	298.1979	0.5733	0.5733	0.0367	0.0286
RB1	287.9627	0.5551	0.5551	0.0474	0.0383
RBM10	435.8181	0.8535	0.8535	0.0479	0.0374
RECQL	481.3064	0.9515	0.9515	0.0655	0.0506
RECQL4	655.9731	1.2265	1.2265	0.0557	0.0408
REL	513.9946	1.0167	1.0167	0.0469	0.0364
RET	544.6039	1.0450	1.0450	0.0393	0.0294
RET,RET.intron.10,RET.intron.11,RET.intron.7,RET.intron.8,RET.intron.9	682.8705	1.2760	1.2760	0.0261	0.0195
RFWD2	458.3302	0.9021	0.9021	0.0522	0.0383
RHEB	361.6290	0.7162	0.7162	0.0465	0.0360
RHOA	509.2477	1.0074	1.0074	0.0426	0.0312
RICTOR	571.6916	1.0899	1.0899	0.0569	0.0465
RIT1	481.1697	0.9571	0.9571	0.0391	0.0313
RNF43	607.5936	1.1581	1.1581	0.0373	0.0290
ROS1	648.8832	1.2320	1.2320	0.0537	0.0430
ROS1,ROS1.intron.31	600.9054	1.1886	1.1886	0.0560	0.0522
ROS1,ROS1.intron.31,ROS1.intron.32,ROS1.intron.33,ROS1.intron.34,ROS1.intron.35	751.9416	1.3590	1.3590	0.0405	0.0303
ROS1.intron.31	487.2031	0.9573	0.9573	0.0756	0.0598
RPS6KA4	541.9272	1.0471	1.0471	0.0571	0.0450
RPS6KB2	469.3419	0.9101	0.9101	0.0536	0.0406
RPTOR	537.5194	1.0416	1.0416	0.0469	0.0360
RRAGC	439.6389	0.8705	0.8705	0.0456	0.0334
RRAS	347.1243	0.6835	0.6835	0.0582	0.0429
RRAS2	417.6445	0.8225	0.8225	0.0580	0.0461
RSPO2.exon2,RSPO2.intron.1,RSPO2.exon1,RSPO2.UTR	737.2132	1.3555	1.3555	0.0418	0.0338
RTEL1	503.8187	0.9738	0.9738	0.0567	0.0432
RUNX1	571.3541	1.0994	1.0994	0.0357	0.0261
RUNX1T1	600.1112	1.1531	1.1531	0.0415	0.0333
RXRA	474.7369	0.9237	0.9237	0.0749	0.0613
RYBP	545.9789	1.0877	1.0877	0.0363	0.0291
SDC4.intron.2	522.0321	1.0359	1.0359	0.0511	0.0396
SDHA	486.3019	0.9579	0.9579	0.0338	0.0257
SDHAF2	438.4795	0.8707	0.8707	0.0381	0.0285
SDHB	488.9439	0.9691	0.9691	0.0442	0.0331
SDHC	362.1653	0.7107	0.7107	0.0351	0.0290
SDHD	470.4350	0.9328	0.9328	0.0450	0.0368
SESN1	457.0923	0.9039	0.9039	0.0481	0.0355
SESN2	374.7699	0.7360	0.7360	0.0461	0.0327
SESN3	451.2629	0.8851	0.8851	0.0511	0.0399
SETD2	565.9945	1.1182	1.1182	0.0367	0.0291
SETD8	364.2972	0.7171	0.7171	0.0459	0.0342
SF3B1	414.1218	0.8190	0.8190	0.0421	0.0332
SGK1	538.8196	1.0541	1.0541	0.0506	0.0371
SH2B3	508.2543	0.9933	0.9933	0.0483	0.0376
SH2D1A	411.2120	0.8038	0.8038	0.0435	0.0320
SHOC2	552.1074	1.0560	1.0560	0.0518	0.0409
SHQ1	526.2541	1.0439	1.0439	0.0480	0.0373
SLC34A2.intron.4	608.0176	1.1909	1.1909	0.0368	0.0295
SLIT2	518.3605	1.0206	1.0206	0.0508	0.0397
SLX4	557.3243	1.0915	1.0915	0.0424	0.0324
SMAD2	479.1082	0.9442	0.9442	0.0484	0.0386
SMAD3	451.3692	0.8951	0.8951	0.0423	0.0329
SMAD4	580.1688	1.1338	1.1338	0.0537	0.0402
SMARCA4	462.2691	0.8999	0.8999	0.0449	0.0350
SMARCB1	378.7654	0.7435	0.7435	0.0429	0.0344
SMARCD1	408.6225	0.8043	0.8043	0.0416	0.0324
SMO	531.4283	1.0390	1.0390	0.0388	0.0297
SMYD3	399.0499	0.7934	0.7934	0.0446	0.0365
SNCAIP	638.4397	1.2018	1.2018	0.0415	0.0312
SOCS1	513.8707	1.0168	1.0168	0.0606	0.0490
SOS1	537.9993	1.0404	1.0404	0.0603	0.0461
SOX10	554.3500	1.0608	1.0608	0.0487	0.0397
SOX17	598.1930	1.1756	1.1756	0.0488	0.0371
SOX2	560.9919	1.1168	1.1168	0.0470	0.0365
SOX9	583.5345	1.1428	1.1428	0.0414	0.0317
SPEN	533.4689	1.0359	1.0359	0.0257	0.0192
SPOP	556.1584	1.0882	1.0882	0.0411	0.0335
SPRED1	489.4381	0.9630	0.9630	0.0488	0.0376
SPTA1	510.8025	1.0048	1.0048	0.0449	0.0352
SRC	383.4539	0.7476	0.7476	0.0488	0.0368
SRSF2	501.3204	1.0002	1.0002	0.0462	0.0368
STAG2	453.8007	0.8958	0.8958	0.0502	0.0395
STAT3	461.3921	0.9107	0.9107	0.0449	0.0333
STAT4	494.9628	0.9608	0.9608	0.0522	0.0402
STAT5A	498.1542	0.9637	0.9637	0.0503	0.0389
STAT5B	520.0195	1.0082	1.0082	0.0421	0.0333
STK11	390.4247	0.7562	0.7562	0.0613	0.0506
STK19	0.0000	0.0047	0.0000	0.0013	0.0000
STK40	436.3055	0.8536	0.8536	0.0475	0.0391
SUFU	435.9818	0.8646	0.8646	0.0428	0.0328
SUZ12	457.1247	0.9039	0.9039	0.0469	0.0367
SYK	401.5034	0.7910	0.7910	0.0371	0.0273
TAF1	501.6208	0.9924	0.9924	0.0394	0.0307
TAP1	0.0000	0.0047	0.0000	0.0013	0.0000
TAP2	0.0000	0.0047	0.0000	0.0013	0.0000
TBX3	514.0429	1.0112	1.0112	0.0471	0.0356
TCEB1	425.2063	0.8420	0.8420	0.0435	0.0333
TCF3	393.7849	0.7616	0.7616	0.0664	0.0538
TCF7L2	429.4929	0.8468	0.8468	0.0401	0.0304
TEK	470.1009	0.9291	0.9291	0.0419	0.0325
TERC	507.3715	1.0114	1.0114	0.0540	0.0352
TERT	558.0188	1.0576	1.0576	0.0469	0.0371
TET1	574.7536	1.1089	1.1089	0.0300	0.0236
TET2	743.8842	1.3602	1.3602	0.0334	0.0261
TGFBR1	564.4459	1.1054	1.1054	0.0501	0.0400
TGFBR2	569.6879	1.1047	1.1047	0.0366	0.0306
TIPARP	550.5506	1.0852	1.0852	0.0457	0.0375
TMEM127	530.1266	1.0462	1.0462	0.0453	0.0366
TMPRSS2	451.7101	0.8958	0.8958	0.0422	0.0312
TMPRSS2,TMPRSS2.intron.1	695.8571	1.2891	1.2891	0.0205	0.0131
TMPRSS2,TMPRSS2.intron.1,TMPRSS2.intron.2	654.5626	1.2554	1.2554	0.0277	0.0235
TMPRSS2,TMPRSS2.intron.2,TMPRSS2.intron.3	667.5408	1.2648	1.2648	0.0205	0.0162
TMPRSS2,TMPRSS2.intron.3	583.8427	1.1409	1.1409	0.0404	0.0287
TMPRSS2.intron.2	599.6261	1.1784	1.1784	0.0396	0.0313
TMPRSS2.intron.3	627.9750	1.2202	1.2202	0.0404	0.0339
TNFAIP3	693.4180	1.3168	1.3168	0.0375	0.0290
TNFRSF14	460.5625	0.8933	0.8933	0.0513	0.0397
TOP1	541.4220	1.0429	1.0429	0.0440	0.0348
TOP2A	488.0739	0.9573	0.9573	0.0408	0.0313
TP53	442.4064	0.8731	0.8731	0.0480	0.0374
TP53BP1	492.3311	0.9769	0.9769	0.0379	0.0277
TP63	539.2463	1.0425	1.0425	0.0397	0.0302
TRAF2	487.4549	0.9506	0.9506	0.0457	0.0354
TRAF7	377.1430	0.7322	0.7322	0.0856	0.0648
TSC1	531.4546	1.0470	1.0470	0.0389	0.0297
TSC2	439.0726	0.8504	0.8504	0.0622	0.0476
TSHR	575.2031	1.1209	1.1209	0.0345	0.0289
TYRO3	502.8194	0.9844	0.9844	0.0445	0.0357
U2AF1	430.1939	0.8406	0.8406	0.0354	0.0279
UPF1	442.1901	0.8636	0.8636	0.0513	0.0394
VEGFA	514.3884	1.0028	1.0028	0.0514	0.0393
VHL	669.3543	1.2611	1.2611	0.0381	0.0303
VTCN1	580.4003	1.1454	1.1454	0.0363	0.0263
WHSC1	580.1623	1.1353	1.1353	0.0255	0.0192
WHSC1L1	530.0794	1.0446	1.0446	0.0397	0.0315
WISP3	535.0323	1.0409	1.0409	0.0482	0.0337
WT1	497.5504	0.9819	0.9819	0.0468	0.0349
WWTR1	606.3856	1.1719	1.1719	0.0478	0.0385
XIAP	549.9938	1.0223	1.0223	0.0268	0.0216
XPO1	534.4715	1.0481	1.0481	0.0436	0.0334
XRCC2	649.1748	1.2038	1.2038	0.0418	0.0332
YAP1	519.5061	1.0217	1.0217	0.0501	0.0393
YES1	495.0417	0.9732	0.9732	0.0446	0.0346
ZBTB2	665.3670	1.2036	1.2036	0.0219	0.0171
ZFHX3	633.3486	1.2019	1.2019	0.0256	0.0194
ZNF217	691.7861	1.2705	1.2705	0.0286	0.0220
ZNF703	597.1989	1.1601	1.1601	0.0584	0.0474
